Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/03/09,GME,GME,S,CBOE,2092
2020/03/09,GME,GME,S,EDGX,271
2020/03/10,GME,GME,S,BATS,1782
2020/03/10,GME,GME,S,C2,36
2020/03/10,GME,GME,S,CBOE,1784
2020/03/10,GME,GME,S,EDGX,492
2020/03/11,GME,GME,S,BATS,2084
2020/03/11,GME,GME,S,C2,385
2020/03/11,GME,GME,S,CBOE,1038
2020/03/11,GME,GME,S,EDGX,1065
2020/03/12,GME,GME,S,BATS,3877
2020/03/12,GME,GME,S,C2,36
2020/03/12,GME,GME,S,CBOE,2007
2020/03/12,GME,GME,S,EDGX,339
2020/03/13,GME,GME,S,BATS,6318
2020/03/13,GME,GME,S,C2,1113
2020/03/13,GME,GME,S,CBOE,3658
2020/03/13,GME,GME,S,EDGX,846
2020/03/16,GME,GME,S,BATS,3885
2020/03/16,GME,GME,S,C2,194
2020/03/16,GME,GME,S,CBOE,1514
2020/03/16,GME,GME,S,EDGX,487
2020/03/17,GME,GME,S,BATS,1409
2020/03/17,GME,GME,S,C2,66
2020/03/17,GME,GME,S,CBOE,491
2020/03/17,GME,GME,S,EDGX,625
2020/03/18,GME,GME,S,BATS,5191
2020/03/18,GME,GME,S,C2,299
2020/03/18,GME,GME,S,CBOE,4687
2020/03/18,GME,GME,S,EDGX,720
2020/03/19,GME,GME,S,BATS,3043
2020/03/19,GME,GME,S,C2,336
2020/03/19,GME,GME,S,CBOE,1378
2020/03/19,GME,GME,S,EDGX,300
2020/03/20,GME,GME,S,BATS,5010
2020/03/20,GME,GME,S,C2,256
2020/03/20,GME,GME,S,CBOE,3280
2020/03/20,GME,GME,S,EDGX,803
2020/03/23,GME,GME,S,BATS,4325
2020/03/23,GME,GME,S,C2,585
2020/03/23,GME,GME,S,CBOE,2671
2020/03/23,GME,GME,S,EDGX,1244
2020/03/24,GME,GME,S,BATS,5850
2020/03/24,GME,GME,S,C2,247
2020/03/24,GME,GME,S,CBOE,1355
2020/03/24,GME,GME,S,EDGX,494
2020/03/25,GME,GME,S,BATS,3861
2020/03/25,GME,GME,S,C2,68
2020/03/25,GME,GME,S,CBOE,1637
2020/03/25,GME,GME,S,EDGX,1800
2020/03/26,GME,GME,S,BATS,4645
2020/03/26,GME,GME,S,C2,500
2020/03/26,GME,GME,S,CBOE,9317
2020/03/26,GME,GME,S,EDGX,5858
2020/03/27,GME,GME,S,BATS,6327
2020/03/27,GME,GME,S,C2,231
2020/03/27,GME,GME,S,CBOE,5717
2020/03/27,GME,GME,S,EDGX,1190
2020/03/30,GME,GME,S,BATS,3492
2020/03/30,GME,GME,S,C2,229
2020/03/30,GME,GME,S,CBOE,2148
2020/03/30,GME,GME,S,EDGX,1419
2020/03/31,GME,GME,S,BATS,2093
2020/03/31,GME,GME,S,C2,168
2020/03/31,GME,GME,S,CBOE,1789
2020/03/31,GME,GME,S,EDGX,617
2020/04/01,GME,GME,S,BATS,5033
2020/04/01,GME,GME,S,C2,299
2020/04/01,GME,GME,S,CBOE,1872
2020/04/01,GME,GME,S,EDGX,436
2020/04/02,GME,GME,S,BATS,3515
2020/04/02,GME,GME,S,C2,143
2020/04/02,GME,GME,S,CBOE,3123
2020/04/02,GME,GME,S,EDGX,342
2020/04/03,GME,GME,S,BATS,4148
2020/04/03,GME,GME,S,C2,494
2020/04/03,GME,GME,S,CBOE,2828
2020/04/03,GME,GME,S,EDGX,1481
2020/04/06,GME,GME,S,BATS,3403
2020/04/06,GME,GME,S,C2,103
2020/04/06,GME,GME,S,CBOE,3406
2020/04/06,GME,GME,S,EDGX,326
2020/04/07,GME,GME,S,BATS,4268
2020/04/07,GME,GME,S,C2,44
2020/04/07,GME,GME,S,CBOE,1628
2020/04/07,GME,GME,S,EDGX,1492
2020/04/08,GME,GME,S,BATS,4024
2020/04/08,GME,GME,S,C2,48
2020/04/08,GME,GME,S,CBOE,2540
2020/04/08,GME,GME,S,EDGX,256
2020/04/09,GME,GME,S,BATS,5533
2020/04/09,GME,GME,S,C2,144
2020/04/09,GME,GME,S,CBOE,3593
2020/04/09,GME,GME,S,EDGX,281
2020/04/13,GME,GME,S,BATS,6597
2020/04/13,GME,GME,S,C2,202
2020/04/13,GME,GME,S,CBOE,3133
2020/04/13,GME,GME,S,EDGX,776
2020/04/14,GME,GME,S,BATS,24353
2020/04/14,GME,GME,S,C2,465
2020/04/14,GME,GME,S,CBOE,6681
2020/04/14,GME,GME,S,EDGX,1355
2020/04/15,GME,GME,S,BATS,6916
2020/04/15,GME,GME,S,C2,222
2020/04/15,GME,GME,S,CBOE,30278
2020/04/15,GME,GME,S,EDGX,1112
2020/04/16,GME,GME,S,BATS,3744
2020/04/16,GME,GME,S,C2,19
2020/04/16,GME,GME,S,CBOE,2313
2020/04/16,GME,GME,S,EDGX,821
2020/04/17,GME,GME,S,BATS,3999
2020/04/17,GME,GME,S,C2,84
2020/04/17,GME,GME,S,CBOE,7251
2020/04/17,GME,GME,S,EDGX,394
2020/04/20,GME,GME,S,BATS,5023
2020/04/20,GME,GME,S,C2,32
2020/04/20,GME,GME,S,CBOE,2470
2020/04/20,GME,GME,S,EDGX,424
2020/04/21,GME,GME,S,BATS,2791
2020/04/21,GME,GME,S,C2,148
2020/04/21,GME,GME,S,CBOE,3681
2020/04/21,GME,GME,S,EDGX,481
2020/04/22,GME,GME,S,BATS,2755
2020/04/22,GME,GME,S,C2,1719
2020/04/22,GME,GME,S,CBOE,1714
2020/04/22,GME,GME,S,EDGX,3147
2020/04/23,GME,GME,S,BATS,1588
2020/04/23,GME,GME,S,C2,12
2020/04/23,GME,GME,S,CBOE,2716
2020/04/23,GME,GME,S,EDGX,724
2020/04/24,GME,GME,S,BATS,1483
2020/04/24,GME,GME,S,C2,49
2020/04/24,GME,GME,S,CBOE,2641
2020/04/24,GME,GME,S,EDGX,223
2020/04/27,GME,GME,S,BATS,7949
2020/04/27,GME,GME,S,C2,118
2020/04/27,GME,GME,S,CBOE,7093
2020/04/27,GME,GME,S,EDGX,999
2020/04/28,GME,GME,S,BATS,6084
2020/04/28,GME,GME,S,C2,203
2020/04/28,GME,GME,S,CBOE,4859
2020/04/28,GME,GME,S,EDGX,803
2020/04/29,GME,GME,S,BATS,2474
2020/04/29,GME,GME,S,C2,61
2020/04/29,GME,GME,S,CBOE,4272
2020/04/29,GME,GME,S,EDGX,955
2020/04/30,GME,GME,S,BATS,2174
2020/04/30,GME,GME,S,C2,350
2020/04/30,GME,GME,S,CBOE,3301
2020/04/30,GME,GME,S,EDGX,448
2020/05/01,GME,GME,S,BATS,5995
2020/05/01,GME,GME,S,C2,288
2020/05/01,GME,GME,S,CBOE,5928
2020/05/01,GME,GME,S,EDGX,466
2020/05/04,GME,GME,S,BATS,3099
2020/05/04,GME,GME,S,C2,44
2020/05/04,GME,GME,S,CBOE,4116
2020/05/04,GME,GME,S,EDGX,403
