Date,Open,High,Low,Close,Adj Close,Volume,MEAN,%Change,Log%Chang,Variance,Stdev,Volitility (w/ 21days),Sharpe Ratio,,
2021-01-21,39.23,44.75,37.00,43.03,43.03,56216900,175.07,-0.33810186623283,-0.412643611369967,0.028767300168072,0.169609257318319,0.77724726022644,-72.2668033161239,,
2021-01-22,42.59,76.76,42.32,65.01,65.01,197157900,175.82,-0.153405376306741,-0.166533301384106,0.02798184202922,0.167277739192098,0.766562901928872,-29.3065464703548,,
2021-01-25,96.73,159.18,61.13,76.79,76.79,177874000,176.46,-0.481078503340411,-0.656002666101744,0.02799327844956,0.167311919627861,0.766719536363042,-115.784503966158,,
2021-01-26,88.56,150.00,80.20,147.98,147.98,178588000,177.04,-0.574170551231028,-0.85371636787864,0.025662474562853,0.160195114041762,0.734106236058456,-151.166130008709,,
2021-01-27,354.83,380.00,249.00,347.51,347.51,93396700,177.21,0.794989665444535,0.584999264511153,0.021511115910734,0.146666683029017,0.672111176908564,103.635241622852,,
2021-01-28,265.00,483.00,112.25,193.60,193.60,58815800,176.21,-0.404307673846154,-0.518030976495526,0.019629226628927,0.140104341934599,0.642038752107278,-91.3130860454104,,
2021-01-29,379.71,413.98,250.00,325.00,325.00,50566100,176.11,0.444444444444444,0.367724780125317,0.018135667694805,0.134668733174427,0.617129663515621,64.7265428960524,,
2021-02-01,316.56,322.00,212.00,225.00,225.00,37382200,175.23,1.5,0.916290731874155,0.017445811976405,0.13208259528191,0.605278490865569,160.525003593398,,
2021-02-02,140.76,158.00,74.22,90.00,90.00,78183100,174.93,-0.026079470789764,-0.026425570855042,0.012479280669203,0.111710700781989,0.511922742270026,-4.66168877735586,,
2021-02-03,112.01,113.40,85.25,92.41,92.41,42698500,175.44,0.727289794392523,0.546553587283346,0.012551845836424,0.112035020580282,0.513408962295078,95.8475222237652,,
2021-02-04,91.19,91.50,53.33,53.50,53.50,62427300,175.94,-0.161047514505253,-0.17560120642522,0.010769879265828,0.103778028820303,0.475570672542346,-30.9370770527063,,
2021-02-05,54.04,95.00,51.09,63.77,63.77,81345000,176.68,0.062833333333333,0.06093829810508,0.010660907203433,0.103251669252526,0.473158589980243,10.7243462938396,,
2021-02-08,72.41,72.66,58.02,60.00,60.00,25687300,177.37,0.19260582006349,0.17614067784211,0.010698743643014,0.103434731318902,0.473997485756288,31.19971654457,,
2021-02-09,56.61,57.00,46.52,50.31,50.31,26843100,178.09,-0.017382812160492,-0.017535667196721,0.010556535503507,0.102745002328615,0.470836750449291,-3.16538947122887,,
